Species,Country,2014,2013,2012,2011,2010,2009,2008,2007,2006
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FLE,BE,379,387,401,322,299,325,346,343,227
FLE,BE,376,346,348,262,251,272,306,298,168
FLE,BE,0,0,0,0,0,0,0,0,0
FLE,BE,1,0,2,1,3,5,26,9,15
FLE,BE,375,346,346,261,247,267,280,289,152
FLE,BE,0,0,0,0,0,0,0,0,0
FLE,BE,0,0,0,0,0,0,0,0,0
FLE,BE,0,0,0,0,0,0,0,0,0
FLE,BE,0,0,0,0,0,0,0,0,0
FLE,BE,0,0,0,0,0,0,0,0,0
FLE,BE,4,40,52,60,48,53,40,45,59
FLE,BE,0,2,16,5,7,11,9,9,13
FLE,BE,2,34,32,53,36,36,30,35,45
FLE,BE,0,0,1,0,0,0,0,0,1
FLE,BE,1,4,4,1,5,5,1,1,1
FLE,BE,0,1,0,0,0,0,0,0,0
FLE,BE,0,0,0,0,0,0,0,0,0
FLE,BE,0,0,0,0,0,0,0,0,0
FLE,BE,0,0,0,0,0,0,0,0,0
FLE,BE,0,0,0,0,0,0,0,0,0
FLE,BE,0,0,0,0,0,0,0,0,0
FLE,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GAD,BE,0,0,0,0,0,0,0,0,0
GUG,BE,65,97,103,63,43,30,21,21,25
GUG,BE,0,0,0,0,0,0,0,0,0
GUG,BE,0,0,0,0,0,0,0,0,0
